id,,name,hazard_level_text,flood_depth_ft,population,vulnerability_index,total_personnel,sar_current,ems_current,lat,lon
ALICIA,,Brgy. Alicia,Medium,2.43,6119,0.297761072,51,38,13,14.66143356,121.0249326
AMIHAN,,Brgy. Amihan,Medium,2.1,3513,0.271847424,29,22,7,14.63224523,121.0684271
APOLONIO_SAMSON,,Brgy. Apolonio Samson,Medium,3.523,33629,0.229682714,280,210,70,14.65464984,121.0092136
BAESA,,Brgy. Baesa,Medium,1.95,55328,0.22780509,460,345,115,14.66964717,121.0115635
BAGBAG,,Brgy. Bagbag,Medium,2.76,64653,0.206703479,538,404,134,14.69723288,121.0311027
BAGONG_LIPUNAN_NG_CRAME,,Brgy. Bagong Lipunan ng Crame,Low,1.22,13630,0.112472487,113,73,40,14.61065581,121.0508196
BAGONG_PAG_ASA,,Brgy. Bagong Pag-asa,Medium,3.235,29389,0.088536527,245,184,61,14.65509725,121.0349045
BAGONG_SILANGAN,,Brgy. Bagong Silangan,High,5.28,106886,0.09623337,889,756,133,14.70981214,121.1134087
BAGUMBAYAN,,Brgy. Bagumbayan,Medium,3.51,22147,0.21429539,184,138,46,14.606808,121.0814842
BAGUMBUHAY,,Brgy. Bagumbuhay,Medium,2.58,6681,0.242478671,56,42,14,14.62515679,121.0651896
BAHAY_TORO,,Brgy. Bahay Toro,Medium,3.56,59639,0.282516474,496,372,124,14.66746171,121.0286049
BALINGASA,,Brgy. Balingasa,Low,0.98,19260,0.070404984,160,104,56,14.65164191,121.0016195
BALUMBATO,,Brgy. Balumbato,Low,1.26,6991,0.164783293,58,38,20,14.66316234,121.0029912
BATASAN_HILLS,,Brgy. Batasan Hills,Medium,3.78,166572,0.114449007,1386,1040,346,14.68343539,121.0981865
BAYANIHAN,,Brgy. Bayanihan,Low,1.18,613,0.207177814,5,3,2,14.61540978,121.0695278
BLUE_RIDGE_A,,Brgy. Blue Ridge A,Low,0.23,1534,0.071707953,13,8,5,14.61903448,121.0735326
BLUE_RIDGE_B,,Brgy. Blue Ridge B,Low,0.87,1071,0.154995331,9,6,3,14.61788141,121.07541
BOTOCAN,,Brgy. Botocan,Low,0.752,7501,0.091721104,62,40,22,14.6381089,121.0636577
BUNGAD,,Brgy. Bungad,Medium,2.21,7014,0.082264043,58,44,14,14.64997493,121.0246487
CAPRI,,Brgy. Capri,High,4.986,12903,0.693445761,107,91,16,14.71679882,121.028477
CENTRAL,,Brgy. Central,Medium,3.35,19331,0.094873519,161,121,40,14.6463009,121.0486307
CAMP_AGUINALDO,,Brgy. Camp Aguinaldo,Low,0.45,3269,0,27,18,9,14.60726587,121.0637277
COMMONWEALTH,,Brgy. Commonwealth,Medium,3.65,213229,0.05340268,1774,1330,444,14.70052769,121.083798
CULIAT,,Brgy. Culiat,Medium,2.83,67804,0.23137278,564,423,141,14.66777627,121.054947
DAMAR,,Brgy. Damar,Low,0.53,952,0.214285714,8,5,3,14.64680629,121.0008772
DAMAYAN,,Brgy. Damayan,Medium,3,6007,0.323289496,50,38,12,14.63784834,121.0139472
DAMAYANG_LAGI,,Brgy. Damayang Lagi,Medium,4.5,19466,0.257782801,162,122,40,14.61605037,121.0232706
DEL_MONTE,,Brgy. Del Monte,Medium,4.75,10595,0.258612553,88,66,22,14.64326124,121.015046
DIOQUINO_ZOBEL,,Brgy. Dioquino Zobel,Medium,2.75,1805,0.068698061,15,11,4,14.61983145,121.0647381
DON_MANUEL,,Brgy. Don Manuel,Low,1.63,1728,0.276041667,14,9,5,14.61634956,121.0051836
DONA_AURORA,,Brgy. Dona Aurora,Low,0.325,4221,0.028666193,35,23,12,14.61624693,121.0091634
DONA_IMELDA,,Brgy. Dona Imelda,High,4.95,11724,0.222449676,98,83,15,14.61300607,121.0172059
DONA_JOSEFA,,Brgy. Dona Josefa,Low,1.5,1857,0.010770059,15,10,5,14.62001076,121.0067754
DUYAN_DUYAN,,Brgy. Duyan-Duyan,Low,1.226,1728,0.067619899,28,18,10,14.62999746,121.0671588
E_RODRIGUEZ,,Brgy. E. Rodriguez,Medium,3.45,17363,0.142890054,145,109,36,14.62633826,121.052093
EAST_KAMIAS,,Brgy. East Kamias,High,4.75,6395,0.254104769,53,45,8,14.63219268,121.0561699
ESCOBA_1,,Brgy. Escopa 1,Low,0.5,2110,0,18,12,6,14.62440321,121.0734585
ESCOBA_2,,Brgy. Escopa 2,Low,0.2,1683,0,14,9,5,14.62431164,121.074453
ESCOBA_3,,Brgy. Escopa 3,Low,0.5,7985,0,66,43,23,14.62700828,121.0732587
ESCOBA_4,,Brgy. Escopa 4,Low,0.12,1837,0,15,10,5,14.62564591,121.0743872
FAIRVIEW,,Brgy. Fairview,Medium,3,61813,0.05820782,514,386,128,14.70245239,121.0687383
GREATER_LAGRO,,Brgy. Greater Lagro,Medium,3.64,23569,0.080826509,196,147,49,14.72363061,121.0633776
GULOD,,Brgy. Gulod,Medium,4.75,62542,0.117824822,520,390,130,14.71159326,121.0409845
HOLY_SPIRIT,,Brgy. Holy Spirit,Low,1.22,111901,0.064530254,931,605,326,14.684883,121.0779885
HORSESHOE,,Brgy. Horseshoe,Medium,3.56,2866,0.132588974,24,18,6,14.61259045,121.0419452
IMMACULATE_CONCEPTION,,Brgy. Immaculate Conception,Medium,2.75,8169,0.086669115,68,51,17,14.62236934,121.0443232
KALIGAYAHAN,,Brgy. Kaligayahan,Medium,2.31,60462,0.051701895,503,377,126,14.73457972,121.0459234
KALUSUGAN,,Brgy. Kalusugan,Medium,4.8,4786,0.008984538,40,30,10,14.62292118,121.0213597
KAMUNING,,Brgy. Kamuning,Medium,4.75,14258,0.224014588,119,89,30,14.62777997,121.0397147
KATIPUNAN,,Brgy. Katipunan,High,4.934,10508,0.115816521,87,74,13,14.65619492,121.0171765
KAUNLARAN,,Brgy. Kaunlaran,Low,0.234,12387,0.011463631,103,67,36,14.61689076,121.0440833
KRISTONG_HARI,,Brgy. Kristong Hari,Medium,3.752,6055,0.08654005,50,38,12,14.62481582,121.0306197
KRUS_NA_LIGAS,,Brgy. Krus na Ligas,Low,1.22,21287,0,177,115,62,14.64432541,121.0627873
LAGING_HANDA,,Brgy. Laging Handa,Low,1.13,4812,0.079800499,40,26,14,14.63250452,121.0305875
LIBIS,,Brgy. Libis,Medium,4.32,4208,0.060361217,35,26,9,14.61618993,121.0769978
LOURDES,,Brgy. Lourdes,Medium,3.12,4523,0.089984524,38,28,10,14.6258265,121.0021126
LOYOLA_HEIGHTS,,Brgy. Loyola Heights,Low,0.96,21140,0.155865658,176,114,62,14.63830397,121.0739516
MAHARLIKA,,Brgy. Maharlika,Medium,2.87,4349,0.322832835,36,27,9,14.63338764,120.996748
MALAYA,,Brgy. Malaya,Medium,0.438,2605,0.012284069,22,16,6,14.63599851,121.0555432
MANGGA,,Brgy. Mangga,Low,1.117,11967,0.224534502,8,5,3,14.62562661,121.0620108
MANRESA,,Brgy. Manresa,Medium,4.32,17224,0.086565258,143,107,36,14.6415392,121.0007527
MARIANA,,Brgy. Mariana,Medium,3.218,11967,0.070193031,100,75,25,14.61898561,121.0333129
MARIBLO,,Brgy. Mariblo,Low,0.791,3433,0.477133702,29,19,10,14.63464313,121.0158518
MARILAG,,Brgy. Marilag,Low,0.81,12555,0.064755078,104,68,36,14.62550739,121.069958
MASAGANA,,Brgy. Masagana,Low,1.274,4166,0.381421027,35,23,12,14.61843938,121.0668343
MASAMBONG,,Brgy. Masambong,Medium,4.197,8800,0.704659091,73,55,18,14.64212716,121.008637
MATANDANG_BALARA,,Brgy. Matandang Balara,Medium,4.819,69475,0.063145016,578,434,144,14.67044973,121.0809336
MILAGROSA,,Brgy. Milagrosa,Low,0.912,6775,0.115719557,56,36,20,14.62059779,121.0697722
NS_AMORANTO,,Brgy. N. S. Amoranto,Medium,3.16,5952,0.135584677,50,38,12,14.63241032,120.9935736
NAGKAISANG_NAYON,,Brgy. Nagkaisang Nayon,Medium,2.812,53781,0.145348729,448,336,112,14.71888101,121.0250878
NAYONG_KANLURAN,,Brgy. Nayong Kanluran,Medium,4.819,2456,0.165309446,20,15,5,14.64013017,121.024885
NEW_ERA,,Brgy. New Era,Medium,2.121,14105,0.2067352,117,88,29,14.66415345,121.0601573
NORTH_FAIRVIEW,,Brgy. North Fairview,Low,0.73,44408,0.081021438,370,240,130,14.71257175,121.0611248
