id,name,hazard_level_text,flood_depth_ft,population,vulnerability_index,total_personnel,sar_current,ems_current,lat,lon
ALICIA,Brgy. Alicia,Low,2.74,6119,0.298,51,38,13,14.66143356,121.0249326
AMIHAN,Brgy. Amihan,Low,2.03,3513,0.272,29,22,7,14.63224523,121.0684271
APOLONIO_SAMSON,Brgy. Apolonio Samson,Low,2.28,33629,0.23,280,210,70,14.65464984,121.0092136
BAESA,Brgy. Baesa,Low,1.36,55328,0.228,460,345,115,14.66964717,121.0115635
BAGBAG,Brgy. Bagbag,Low,2.31,64653,0.207,538,404,134,14.69723288,121.0311027
BAGONG_LIPUNAN_NG_CRAME,Brgy. Bagong Lipunan ng Crame,Low,2.35,13630,0.112,113,73,40,14.61065581,121.0508196
BAGONG_PAG_ASA,Brgy. Bagong Pag-asa,Low,2.23,29389,0.089,245,184,61,14.65509725,121.0349045
BAGONG_SILANGAN,Brgy. Bagong Silangan,Low,1.75,106886,0.096,889,756,133,14.70981214,121.1134087
BAGUMBAYAN,Brgy. Bagumbayan,Medium,3.33,22147,0.214,184,138,46,14.606808,121.0814842
BAGUMBUHAY,Brgy. Bagumbuhay,Medium,3.27,6681,0.242,56,42,14,14.62515679,121.0651896
BAHAY_TORO,Brgy. Bahay Toro,Medium,3.33,59639,0.283,496,372,124,14.66746171,121.0286049
BALINGASA,Brgy. Balingasa,Low,2.05,19260,0.07,160,104,56,14.65164191,121.0016195
BALUMBATO,Brgy. Balumbato,Low,0.97,6991,0.165,58,38,20,14.66316234,121.0029912
BATASAN_HILLS,Brgy. Batasan Hills,Low,2.69,166572,0.114,1386,1040,346,14.68343539,121.0981865
BAYANIHAN,Brgy. Bayanihan,Low,2.73,613,0.207,5,3,2,14.61540978,121.0695278
BLUE_RIDGE_A,Brgy. Blue Ridge A,No Flood,0.09,1534,0.072,13,8,5,14.61903448,121.0735326
BLUE_RIDGE_B,Brgy. Blue Ridge B,Low,2.74,1071,0.155,9,6,3,14.61788141,121.07541
BOTOCAN,Brgy. Botocan,Low,1.21,7501,0.092,62,40,22,14.6381089,121.0636577
BUNGAD,Brgy. Bungad,Low,2.12,7014,0.082,58,44,14,14.64997493,121.0246487
CAPRI,Brgy. Capri,Low,1.58,12903,0.693,107,91,16,14.71679882,121.028477
CENTRAL,Brgy. Central,Medium,3.53,19331,0.095,161,121,40,14.6463009,121.0486307
CAMP_AGUINALDO,Brgy. Camp Aguinaldo,Low,1.35,3269,0,27,18,9,14.60726587,121.0637277
COMMONWEALTH,Brgy. Commonwealth,Low,1.94,213229,0.053,1774,1330,444,14.70052769,121.083798
CULIAT,Brgy. Culiat,Medium,3.08,67804,0.231,564,423,141,14.66777627,121.054947
DAMAR,Brgy. Damar,Low,0.9,952,0.214,8,5,3,14.64680629,121.0008772
DAMAYAN,Brgy. Damayan,Medium,3.33,6007,0.323,50,38,12,14.63784834,121.0139472
DAMAYANG_LAGI,Brgy. Damayang Lagi,Medium,3.2,19466,0.258,162,122,40,14.61605037,121.0232706
DEL_MONTE,Brgy. Del Monte,Low,2.63,10595,0.259,88,66,22,14.64326124,121.015046
DIOQUINO_ZOBEL,Brgy. Dioquino Zobel,No Flood,0.07,1805,0.069,15,11,4,14.61983145,121.0647381
DON_MANUEL,Brgy. Don Manuel,Low,0.88,1728,0.276,14,9,5,14.61634956,121.0051836
DONA_AURORA,Brgy. Dona Aurora,No Flood,0.44,4221,0.029,35,23,12,14.61624693,121.0091634
DONA_IMELDA,Brgy. Dona Imelda,Low,2.73,11724,0.222,98,83,15,14.61300607,121.0172059
DONA_JOSEFA,Brgy. Dona Josefa,Low,0.76,1857,0.011,15,10,5,14.62001076,121.0067754
DUYAN_DUYAN,Brgy. Duyan-Duyan,Low,1.28,1728,0.068,28,18,10,14.62999746,121.0671588
E_RODRIGUEZ,Brgy. E. Rodriguez,Medium,3.16,17363,0.143,145,109,36,14.62633826,121.052093
EAST_KAMIAS,Brgy. East Kamias,Medium,3.28,6395,0.254,53,45,8,14.63219268,121.0561699
ESCOBA_1,Brgy. Escopa 1,No Flood,0.1,2110,0,18,12,6,14.62440321,121.0734585
ESCOBA_2,Brgy. Escopa 2,No Flood,0.06,1683,0,14,9,5,14.62431164,121.074453
ESCOBA_3,Brgy. Escopa 3,No Flood,0.43,7985,0,66,43,23,14.62700828,121.0732587
ESCOBA_4,Brgy. Escopa 4,No Flood,0.09,1837,0,15,10,5,14.62564591,121.0743872
FAIRVIEW,Brgy. Fairview,Medium,3.71,61813,0.058,514,386,128,14.70245239,121.0687383
GREATER_LAGRO,Brgy. Greater Lagro,Low,1.55,23569,0.081,196,147,49,14.72363061,121.0633776
GULOD,Brgy. Gulod,Low,2.08,62542,0.118,520,390,130,14.71159326,121.0409845
HOLY_SPIRIT,Brgy. Holy Spirit,Low,0.71,111901,0.065,931,605,326,14.684883,121.0779885
HORSESHOE,Brgy. Horseshoe,Medium,2.96,2866,0.133,24,18,6,14.61259045,121.0419452
IMMACULATE_CONCEPTION,Brgy. Immaculate Conception,Low,2.34,8169,0.087,68,51,17,14.62236934,121.0443232
KALIGAYAHAN,Brgy. Kaligayahan,Low,1.13,60462,0.052,503,377,126,14.73457972,121.0459234
KALUSUGAN,Brgy. Kalusugan,Medium,3.22,4786,0.009,40,30,10,14.62292118,121.0213597
KAMUNING,Brgy. Kamuning,Medium,3.62,14258,0.224,119,89,30,14.62777997,121.0397147
KATIPUNAN,Brgy. Katipunan,Medium,2.8,10508,0.116,87,74,13,14.65619492,121.0171765
KAUNLARAN,Brgy. Kaunlaran,No Flood,0.07,12387,0.011,103,67,36,14.61689076,121.0440833
KRISTONG_HARI,Brgy. Kristong Hari,Medium,3.04,6055,0.087,50,38,12,14.62481582,121.0306197
KRUS_NA_LIGAS,Brgy. Krus na Ligas,Low,1.05,21287,0,177,115,62,14.64432541,121.0627873
LAGING_HANDA,Brgy. Laging Handa,Low,1.12,4812,0.08,40,26,14,14.63250452,121.0305875
LIBIS,Brgy. Libis,High,5.36,4208,0.06,35,26,9,14.61618993,121.0769978
LOURDES,Brgy. Lourdes,Low,1.94,4523,0.09,38,28,10,14.6258265,121.0021126
LOYOLA_HEIGHTS,Brgy. Loyola Heights,Low,1.33,21140,0.156,176,114,62,14.63830397,121.0739516
MAHARLIKA,Brgy. Maharlika,Low,2.32,4349,0.323,36,27,9,14.63338764,120.996748
MALAYA,Brgy. Malaya,No Flood,0.39,2605,0.012,22,16,6,14.63599851,121.0555432
MANGGA,Brgy. Mangga,Low,1.24,11967,0.225,8,5,3,14.62562661,121.0620108
